Id,Name,Shortname,Logo,Culoare
42,PARTIDUL CONSERVATOR,PC,https://rezultatevot-media.s3.eu-central-1.amazonaws.com/v2/Partidul%20Conservator.png,#01357E
12,PARTIDUL ROMANIA MARE,PRM,,
21,UNIUNEA DEMOCRATA MAGHIARA DIN ROMANIA,UDMR,,
44,PARTIDUL DEMOCRAT LIBERAL,PDL,,
13,PARTIDUL SOCIAL DEMOCRAT,PSD,,
3,PARTIDUL NATIONAL LIBERAL,PNL,,
,"PARTIDUL ""PENTRU PATRIE""",PP,https://rezultatevot-media.s3.eu-central-1.amazonaws.com/v2/PARTIDUL%20_PENTRU%20PATRIE_.png,#548043
5,PARTIDUL NATIONAL TARANESC CRESTIN DEMOCRAT,PNTCD,,
,PARTIDUL NATIONAL DEMOCRAT CRESTIN,PNDC,https://rezultatevot-media.s3.eu-central-1.amazonaws.com/v2/PARTIDUL%20NATIONAL%20DEMOCRAT%20CRESTIN.png,#F3EE32
17,PARTIDUL VERDE,PV,,
,PARTIDUL INITIATIVA NATIONALA,PIN,https://rezultatevot-media.s3.eu-central-1.amazonaws.com/v2/PARTIDUL%20INITIATIVA%20NATIONALA.png,#FF0000
25,PARTIDUL ECOLOGIST ROMAN,PER,,
7,PARTIDUL NOUA GENERATIE - CRESTIN DEMOCRAT,PNG-CD,https://rezultatevot-media.s3.eu-central-1.amazonaws.com/v2/PARTIDUL%20NOUA%20GENERATIE%20-%20CRESTIN%20DEMOCRAT.png,#0080CC
,PARTIDUL NATIONAL LIBERAL (PNL+PNTCD),,https://rezultatevot-media.s3.eu-central-1.amazonaws.com/v2/PARTIDUL+NATIONAL+LIBERAL+(PNL%2BPNTCD).png,#F2D93C
,PARTIDUL ALIANTA SOCIALISTA,PAS,https://rezultatevot-media.s3.eu-central-1.amazonaws.com/v2/PARTIDUL%20ALIANTA%20SOCIALISTA.png,#FF0000
,UNIUNEA PENSIONARILOR SI A SOLIDARITATII SOCIALE - UNIUNEA,UPSS,https://rezultatevot-media.s3.eu-central-1.amazonaws.com/v2/UNIUNEA%20PENSIONARILOR%20SI%20A%20SOLIDARITATII%20SOCIALE%20-%20UNIUNEA.png,#E81C2B
36,FORUMUL DEMOCRAT AL GERMANILOR DIN ROMANIA,FDGR,,
168,PARTIDUL SOCIALIST ROMAN,PSR,https://rezultatevot-media.s3.eu-central-1.amazonaws.com/v2/PARTIDUL%20SOCIALIST%20ROMAN.png,#E5322C
,PARTIDUL POPULAR SI AL PROTECTIEI SOCIALE,PPPS,https://rezultatevot-media.s3.eu-central-1.amazonaws.com/v2/PARTIDUL%20POPULAR%20SI%20AL%20PROTECTIEI%20SOCIALE.png,#033363
,PARTIDUL POPULAR DIN ROMANIA,,,
,UNIUNEA POPULARA SOCIAL CRESTINA,UPSC,https://rezultatevot-media.s3.eu-central-1.amazonaws.com/v2/UNIUNEA%20POPULARA%20SOCIAL%20CRESTINA.png,#112C59
,PARTIDUL REPUBLICAN,,,
,CANDIDAT INDEPENDENT,,,
,FORTA DEMOCRATA,,https://rezultatevot-media.s3.eu-central-1.amazonaws.com/v2/FORTA%20DEMOCRATA.png,
,PARTIDUL ROMANIEI EUROPENE,PRE,https://rezultatevot-media.s3.eu-central-1.amazonaws.com/v2/PARTIDUL%20ROMANIEI%20EUROPENE.png,
,"PARTIDUL SOCIAL DEMOCRAT ""CONSTANTIN TITEL PETRESCU""",PSD-CTP,https://rezultatevot-media.s3.eu-central-1.amazonaws.com/v2/PARTIDUL%20SOCIAL%20DEMOCRAT%20_CONSTANTIN%20TITEL%20PETRESCU_.png,
,"""ALIANTA ROMANEASCA PENTRU JUDETUL COVASNA""",,,
,PARTIDUL CIVIC MAGHIAR - MAGYAR POLGARI PART,,https://rezultatevot-media.s3.eu-central-1.amazonaws.com/v2/PARTIDUL%20CIVIC%20MAGHIAR%20-%20MAGYAR%20POLGARI%20PART.png,#079946
,FORTA CIVICA,,https://rezultatevot-media.s3.eu-central-1.amazonaws.com/v2/FORTA%20CIVICA.png,#0077B9
,PARTIDUL ALTERNATIVA ECOLOGISTA,,https://rezultatevot-media.s3.eu-central-1.amazonaws.com/v2/PARTIDUL%20ALTERNATIVA%20ECOLOGISTA.png,
,PARTIDUL RENASTEREA ROMANIEI,,,
149,UNIUNEA UCRAINENILOR DIN ROMANIA,UUR,https://rezultatevot-media.s3.eu-central-1.amazonaws.com/v2/UNIUNEA%20UCRAINENILOR%20DIN%20ROMANIA.png,#F9ECB5
,"""ALIANTA ELECTORALA: PARTIDUL SOCIAL DEMOCRAT - PARTIDUL ROMANIA MARE""",PSD-PRM,,
,UNIUNEA ELENA DIN ROMANIA,,https://rezultatevot-media.s3.eu-central-1.amazonaws.com/v2/UNIUNEA%20ELENA%20DIN%20ROMANIA.png,#18469B
,ALIANTA PENTRU TIMIS PNL * PNT-CD * FDGR,PNL * PNT-CD * FDGR,,
